sample	title	series
GSM1375987	Normal lung tissue 1079-NOR	GSE57148
GSM1548066	A549 EHF-overexpressing clone 30 rep 1	GSE63397-GSE63400
GSM1267256	Norm1	GSE52463
GSM1888329	IPF-3	GSE73189
GSM1376004	Normal lung tissue 155-NOR	GSE57148
GSM1567936	Lung_17wkB	GSE64283
GSM1548062	A549 EHF-overexpressing clone 23 rep 2	GSE63397-GSE63400
GSM1376025	Normal lung tissue 3160-NOR	GSE57148
GSM1537304	WI38_Clone39_mRNA	GSE62907-GSE62966
GSM1376001	Normal lung tissue 1475-NOR	GSE57148
GSM1376127	COPD lung tissue 2783-COPD	GSE57148
GSM1267257	Norm2	GSE52463
GSM1376153	COPD lung tissue 4169-COPD	GSE57148
GSM1681896	Tum-IMMC03	GSE68795
GSM1376084	COPD lung tissue 12-COPD	GSE57148
GSM1376094	COPD lung tissue 1516-COPD	GSE57148
GSM1376137	COPD lung tissue 3387-COPD	GSE57148
GSM1519975	Erlotinib-resistant HCC827	GSE62118
GSM1376159	COPD lung tissue 5078-COPD	GSE57148
GSM1375989	Normal lung tissue 1199-NOR	GSE57148
GSM1376154	COPD lung tissue 440-COPD	GSE57148
GSM1376170	COPD lung tissue 815-COPD	GSE57148
GSM1376062	Normal lung tissue 507-NOR	GSE57148
GSM1579174	H3122_vitro_crizotinib_48h_rep1	GSE64741
GSM1567935	Lung_17wkA	GSE64283
GSM1376064	Normal lung tissue 5202-NOR	GSE57148
GSM1376124	COPD lung tissue 271-COPD	GSE57148
GSM2300453	H2228 rep2	GSE86337
GSM1376048	Normal lung tissue 421-NOR	GSE57148
GSM1548069	A549 EHF-overexpressing clone 30 rep 5	GSE63397-GSE63400
GSM1375998	Normal lung tissue 1444-NOR	GSE57148
GSM1548052	A549 negative control clone 5 rep 3	GSE63397-GSE63400
GSM1376166	COPD lung tissue 634-COPD	GSE57148
GSM1443863	RB-_RNA-seq_rep2	GSE59688-GSE59693
GSM1376012	Normal lung tissue 2294-NOR	GSE57148
GSM1567937	Lung_20wkA	GSE64283
GSM1376121	COPD lung tissue 2673-COPD	GSE57148
GSM1567933	Lung_10wkA	GSE64283
GSM1376148	COPD lung tissue 3862-COPD	GSE57148
GSM1548041	Calu-3 negative control siRNA rep 5	GSE63397-GSE63400
GSM1443861	e1awt_RNA-seq_rep2	GSE59688-GSE59693
GSM1376053	Normal lung tissue 4305-NOR	GSE57148
GSM1548045	Calu-3 EHF siRNA rep4	GSE63397-GSE63400
GSM1376155	COPD lung tissue 465-COPD	GSE57148
GSM1548056	A549 negative control clone 10 rep 4	GSE63397-GSE63400
GSM1267268	IPF6	GSE52463
GSM1888328	IPF-2	GSE73189
GSM1376117	COPD lung tissue 2616-COPD	GSE57148
GSM1376150	COPD lung tissue 4024-COPD	GSE57148
GSM1624885	Overexpression of U2AF1_v1_wildtype after U2AF1 knockdown, replicate 2	GSE66553
GSM1376145	COPD lung tissue 376-COPD	GSE57148
GSM2144088	HCC827_3-1_c	GSE81167
GSM1956995	Day7, rep1 (Paired-end)	GSE75487-GSE75492
GSM1548058	A549 EHF-overexpressing clone 22 rep 1	GSE63397-GSE63400
GSM1376020	Normal lung tissue 2969-NOR	GSE57148
GSM1376057	Normal lung tissue 4772-NOR	GSE57148
GSM1443855	dl312_RNA-seq_rep1	GSE59688-GSE59693
GSM1548065	A549 EHF-overexpressing clone 23 rep 5	GSE63397-GSE63400
GSM1376151	COPD lung tissue 4066-COPD	GSE57148
GSM1376168	COPD lung tissue 704-COPD	GSE57148
GSM1624883	Negative control (empty vector, control siRNA), replicate 2	GSE66553
GSM1376082	COPD lung tissue 1092-COPD	GSE57148
GSM1681897	Tum-Neu01	GSE68795
GSM2300449	H1975 rep2	GSE86337
GSM2300450	HCC827 rep1	GSE86337
GSM1548049	A549 negative control clone 1 rep 3	GSE63397-GSE63400
GSM1624875	A549, untreated cells, replicate 1	GSE66553
GSM1548061	A549 EHF-overexpressing clone 22 rep 5	GSE63397-GSE63400
GSM1376073	Normal lung tissue 841-NOR	GSE57148
GSM1376122	COPD lung tissue 2700-COPD	GSE57148
GSM1548040	Calu-3 negative control siRNA rep 4	GSE63397-GSE63400
GSM1376169	COPD lung tissue 743-COPD	GSE57148
GSM1376086	COPD lung tissue 1380-COPD	GSE57148
GSM1376039	Normal lung tissue 3725-NOR	GSE57148
GSM1681908	Adj-Epi01	GSE68795
GSM1267264	IPF2	GSE52463
GSM1505573	Lung RUN1 L001	GSE61474
GSM1376128	COPD lung tissue 2821-COPD	GSE57148
GSM1376079	COPD lung tissue 103907N-COPD	GSE57148
GSM1548059	A549 EHF-overexpressing clone 22 rep 2	GSE63397-GSE63400
GSM1624877	U2AF1 knockdown (Overexpression of empty vector after U2AF1 knockdown), replicate 1	GSE66553
GSM1624879	Overexpression of U2AF1_v1_S34F after U2AF1 knockdown, replicate 1	GSE66553
GSM1418973	PolyA+ RNAseq (DMSO)	GSE58740
GSM1888337	Normal-4	GSE73189
GSM1548038	Calu-3 negative control siRNA rep 2	GSE63397-GSE63400
GSM1376077	COPD lung tissue 090743N-COPD	GSE57148
GSM1548051	A549 negative control clone 5 rep 2	GSE63397-GSE63400
GSM1376067	Normal lung tissue 55-NOR	GSE57148
GSM1982266	H1299_ShMETTL3-2	GSE76367
GSM1548046	Calu-3 EHF siRNA rep5	GSE63397-GSE63400
GSM1376098	COPD lung tissue 1635-COPD	GSE57148
GSM1376008	Normal lung tissue 1901-NOR	GSE57148
GSM1376003	Normal lung tissue 1503-NOR	GSE57148
GSM1376035	Normal lung tissue 3543-NOR	GSE57148
GSM1376130	COPD lung tissue 2966-COPD	GSE57148
GSM1376024	Normal lung tissue 3157-NOR	GSE57148
GSM1376070	Normal lung tissue 640-NOR	GSE57148
GSM1528673	STT7087_run_2	GSE62544
GSM1681905	Adj-Neu02	GSE68795
GSM1376090	COPD lung tissue 1480-COPD	GSE57148
GSM1443859	mock_RNA-seq_rep2	GSE59688-GSE59693
GSM1376147	COPD lung tissue 3838-COPD	GSE57148
GSM1548053	A549 negative control clone 5 rep 4	GSE63397-GSE63400
GSM1959782	A549 negative control rep1	GSE75591
GSM1376136	COPD lung tissue 3333-COPD	GSE57148
GSM1376106	COPD lung tissue 2070-COPD	GSE57148
GSM2144091	HCC827_ZEB_c	GSE81167
GSM1375986	Normal lung tissue 1017-NOR	GSE57148
GSM1888335	Normal-2	GSE73189
GSM1681910	Adj-Epi03	GSE68795
GSM1375996	Normal lung tissue 1396-NOR	GSE57148
GSM1376055	Normal lung tissue 4658-NOR	GSE57148
GSM1376109	COPD lung tissue 2178-COPD	GSE57148
GSM1376138	COPD lung tissue 3430-COPD	GSE57148
GSM1376071	Normal lung tissue 681-NOR	GSE57148
GSM1957011	ESRP KD, rep2 (Paired-end)	GSE75489-GSE75492
GSM1376162	COPD lung tissue 5130-COPD	GSE57148
GSM1376036	Normal lung tissue 3594-NOR	GSE57148
GSM1505599	Lung RUN2 L006	GSE61474
GSM1376056	Normal lung tissue 467-NOR	GSE57148
GSM1376046	Normal lung tissue 4172-NOR	GSE57148
GSM1376074	Normal lung tissue 899-NOR	GSE57148
GSM1548037	Calu-3 negative control siRNA rep 1	GSE63397-GSE63400
GSM1548048	A549 negative control clone 1 rep 2	GSE63397-GSE63400
GSM1267260	Norm5	GSE52463
GSM1982265	H1299_ShMETTL3_1	GSE76367
GSM1376033	Normal lung tissue 3327-NOR	GSE57148
GSM1376160	COPD lung tissue 5082-COPD	GSE57148
GSM1624878	Overexpression of U2AF1_v1_wildtype after U2AF1 knockdown, replicate 1	GSE66553
GSM1681907	Adj-Neu04	GSE68795
GSM1528672	STT7087_run_1	GSE62544
GSM1376049	Normal lung tissue 4218-NOR	GSE57148
GSM1982261	A549_ShMETTL3_2	GSE76367
GSM1376102	COPD lung tissue 1845-COPD	GSE57148
GSM1376063	Normal lung tissue 5122-NOR	GSE57148
GSM1957015	CTRL, rep3 (Paired-end)	GSE75489-GSE75492
GSM1267265	IPF3	GSE52463
GSM1376104	COPD lung tissue 190-COPD	GSE57148
GSM1376042	Normal lung tissue 3883-NOR	GSE57148
GSM1624880	Overexpression of U2AF1_v3_wildtype after U2AF1 knockdown, replicate 1	GSE66553
GSM1267258	Norm3	GSE52463
GSM1579172	H3122_vitro_vehicle_rep1	GSE64741
GSM1376165	COPD lung tissue 578-COPD	GSE57148
GSM1624884	U2AF1 knockdown (Overexpression of empty vector after U2AF1 knockdown), replicate 2	GSE66553
GSM1959788	A549 miRNA-1343 rep3	GSE75591
GSM1443858	RB-_RNA-seq_rep1	GSE59688-GSE59693
GSM1376126	COPD lung tissue 2747-COPD	GSE57148
GSM1567934	Lung_10wkB	GSE64283
GSM1376072	Normal lung tissue 750-NOR	GSE57148
GSM1959785	A549 negative control rep4	GSE75591
GSM1376087	COPD lung tissue 1395-COPD	GSE57148
GSM1681894	Tum-IMMC01	GSE68795
GSM1957013	CTRL, rep1 (Paired-end)	GSE75489-GSE75492
GSM1376097	COPD lung tissue 1630-COPD	GSE57148
GSM1376163	COPD lung tissue 5215-COPD	GSE57148
GSM1376052	Normal lung tissue 4293-NOR	GSE57148
GSM1957024	Control, rep3 (Paired-end)	GSE75491-GSE75492
GSM1956984	Day3, rep2 (Paired-end)	GSE75487-GSE75492
GSM1418974	PolyA+ RNAseq (Nutlin-3a)	GSE58740
GSM1376146	COPD lung tissue 3773-COPD	GSE57148
GSM1376091	COPD lung tissue 1493-COPD	GSE57148
GSM1376007	Normal lung tissue 1787-NOR	GSE57148
GSM1956986	Day4, rep1 (Paired-end)	GSE75487-GSE75492
GSM1375999	Normal lung tissue 1464-NOR	GSE57148
GSM1376000	Normal lung tissue 1467-NOR	GSE57148
GSM1681901	Adj-IMMC01	GSE68795
GSM1376037	Normal lung tissue 3699-NOR	GSE57148
GSM2300451	HCC827 rep2	GSE86337
GSM1548054	A549 negative control clone 10 rep 2	GSE63397-GSE63400
GSM1376051	Normal lung tissue 4286-NOR	GSE57148
GSM1376096	COPD lung tissue 157-COPD	GSE57148
GSM1376118	COPD lung tissue 2618-COPD	GSE57148
GSM1376164	COPD lung tissue 565-COPD	GSE57148
GSM1956992	Day6, rep1 (Paired-end)	GSE75487-GSE75492
GSM1376120	COPD lung tissue 2649-COPD	GSE57148
GSM1376133	COPD lung tissue 3147-COPD	GSE57148
GSM1956974	No Dox, rep1 (Paired-end)	GSE75487-GSE75492
GSM1548050	A549 negative control clone 5 rep 1	GSE63397-GSE63400
GSM1376066	Normal lung tissue 5275-NOR	GSE57148
GSM1982262	H1299_input	GSE76367
GSM1376157	COPD lung tissue 4980-COPD	GSE57148
GSM1375993	Normal lung tissue 1355-NOR	GSE57148
GSM1375988	Normal lung tissue 110-NOR	GSE57148
GSM1267263	IPF1	GSE52463
GSM1376158	COPD lung tissue 501-COPD	GSE57148
GSM1548060	A549 EHF-overexpressing clone 22 rep 4	GSE63397-GSE63400
GSM1957014	CTRL, rep2 (Paired-end)	GSE75489-GSE75492
GSM2300454	H838 rep1	GSE86337
GSM1376112	COPD lung tissue 2301-COPD	GSE57148
GSM1376022	Normal lung tissue 3033-NOR	GSE57148
GSM1888334	Normal-1	GSE73189
GSM1376023	Normal lung tissue 306-NOR	GSE57148
GSM1376006	Normal lung tissue 1770-NOR	GSE57148
GSM1267267	IPF5	GSE52463
GSM1548047	A549 negative control clone 1 rep 1	GSE63397-GSE63400
GSM1376038	Normal lung tissue 3702-NOR	GSE57148
GSM1376018	Normal lung tissue 2826-NOR	GSE57148
GSM1548055	A549 negative control clone 10 rep 3	GSE63397-GSE63400
GSM1982260	A549_ShMETTL3_1	GSE76367
GSM1376050	Normal lung tissue 4266-NOR	GSE57148
GSM1376125	COPD lung tissue 274-COPD	GSE57148
GSM1548057	A549 negative control clone 10 rep 5	GSE63397-GSE63400
GSM1375995	Normal lung tissue 1379-NOR	GSE57148
GSM1956990	Day5, rep2 (Paired-end)	GSE75487-GSE75492
GSM1376141	COPD lung tissue 3652-COPD	GSE57148
GSM1376105	COPD lung tissue 206-COPD	GSE57148
GSM1376088	COPD lung tissue 1423-COPD	GSE57148
GSM1956975	No Dox, rep2 (Paired-end)	GSE75487-GSE75492
GSM2055783	Lung_rep1	GSE77661
GSM1376129	COPD lung tissue 2846-COPD	GSE57148
GSM1681906	Adj-Neu03	GSE68795
GSM1956979	Day1, rep3 (Paired-end)	GSE75487-GSE75492
GSM1548044	Calu-3 EHF siRNA rep3	GSE63397-GSE63400
GSM1956991	Day5, rep3 (Paired-end)	GSE75487-GSE75492
GSM1376059	Normal lung tissue 4851-NOR	GSE57148
GSM1624886	Overexpression of U2AF1_v1_S34F after U2AF1 knockdown, replicate 2	GSE66553
GSM1376139	COPD lung tissue 3523-COPD	GSE57148
GSM1376149	COPD lung tissue 3907-COPD	GSE57148
GSM1267262	Norm8	GSE52463
GSM1548042	Calu-3 EHF siRNA rep1	GSE63397-GSE63400
GSM1376135	COPD lung tissue 3298-COPD	GSE57148
GSM1376092	COPD lung tissue 1494-COPD	GSE57148
GSM1956987	Day4, rep2 (Paired-end)	GSE75487-GSE75492
GSM1959783	A549 negative control rep2	GSE75591
GSM2300448	H1975 rep1	GSE86337
GSM1957021	RBM47 KD, rep3 (Paired-end)	GSE75491-GSE75492
GSM1375994	Normal lung tissue 1376-NOR	GSE57148
GSM1956996	Day7, rep2 (Paired-end)	GSE75487-GSE75492
GSM1376108	COPD lung tissue 2134-COPD	GSE57148
GSM1537303	WI38_Clone42_mRNA	GSE62907-GSE62966
GSM1375992	Normal lung tissue 1334-NOR	GSE57148
GSM1956977	Day1, rep1 (Paired-end)	GSE75487-GSE75492
GSM1443864	Coinfection_RNA-seq	GSE59688-GSE59693
GSM1267269	IPF7	GSE52463
GSM1376114	COPD lung tissue 2356-COPD	GSE57148
GSM1376029	Normal lung tissue 3239-NOR	GSE57148
GSM1888327	IPF-1	GSE73189
GSM1956989	Day5, rep1 (Paired-end)	GSE75487-GSE75492
GSM1681909	Adj-Epi02	GSE68795
GSM1376099	COPD lung tissue 1653-COPD	GSE57148
GSM1376034	Normal lung tissue 34-NOR	GSE57148
GSM1959786	A549 miRNA-1343 rep1	GSE75591
GSM1376116	COPD lung tissue 2578-COPD	GSE57148
GSM1376019	Normal lung tissue 2832-NOR	GSE57148
GSM1443856	e1awt_RNA-seq_rep1	GSE59688-GSE59693
GSM1376143	COPD lung tissue 3700-COPD	GSE57148
GSM1376058	Normal lung tissue 4845-NOR	GSE57148
GSM1376065	Normal lung tissue 522-NOR	GSE57148
GSM1956980	Day2, rep1 (Paired-end)	GSE75487-GSE75492
GSM1376085	COPD lung tissue 1332-COPD	GSE57148
GSM1888336	Normal-3	GSE73189
GSM1376060	Normal lung tissue 4881-NOR	GSE57148
GSM1579173	H3122_vitro_vehicle_rep2	GSE64741
GSM1681900	Tum-Epi02	GSE68795
GSM1888332	INSIP-2	GSE73189
GSM1376103	COPD lung tissue 1890-COPD	GSE57148
GSM1908513	MRC5+Tetra-Pt(bpy)-treated	GSE74029
GSM1624881	Overexpression of U2AF1_v3_S34F after U2AF1 knockdown, replicate 1	GSE66553
GSM1376030	Normal lung tissue 3243-NOR	GSE57148
GSM1376016	Normal lung tissue 252-NOR	GSE57148
GSM2144086	HCC827_3-1_a	GSE81167
GSM1956994	Day6, rep3 (Paired-end)	GSE75487-GSE75492
GSM1681903	Adj-IMMC03	GSE68795
GSM1376115	COPD lung tissue 2408-COPD	GSE57148
GSM1376140	COPD lung tissue 362-COPD	GSE57148
GSM1376015	Normal lung tissue 2479-NOR	GSE57148
GSM1956982	Day2, rep3 (Paired-end)	GSE75487-GSE75492
GSM1681904	Adj-Neu01	GSE68795
GSM1376111	COPD lung tissue 2269-COPD	GSE57148
GSM1982259	A549_ShGFP	GSE76367
GSM1376113	COPD lung tissue 2350-COPD	GSE57148
GSM1567938	Lung_20wkB	GSE64283
GSM1681899	Tum-Epi01	GSE68795
GSM1376076	Normal lung tissue 987-NOR	GSE57148
GSM1681902	Adj-IMMC02	GSE68795
GSM1376028	Normal lung tissue 3231-NOR	GSE57148
GSM1443854	mock_RNA-seq_rep1	GSE59688-GSE59693
GSM1956983	Day3, rep1 (Paired-end)	GSE75487-GSE75492
GSM1376167	COPD lung tissue 648-COPD	GSE57148
GSM1956981	Day2, rep2 (Paired-end)	GSE75487-GSE75492
GSM1376144	COPD lung tissue 3722-COPD	GSE57148
GSM1624888	Overexpression of U2AF1_v3_S34F after U2AF1 knockdown, replicate 2	GSE66553
GSM1957012	ESRP KD, rep3 (Paired-end)	GSE75489-GSE75492
GSM1267266	IPF4	GSE52463
GSM1376040	Normal lung tissue 3732-NOR	GSE57148
GSM2300446	A549 rep1	GSE86337
GSM1376014	Normal lung tissue 2469-NOR	GSE57148
GSM1375997	Normal lung tissue 1424-NOR	GSE57148
GSM1959784	A549 negative control rep3	GSE75591
GSM1376044	Normal lung tissue 3965-NOR	GSE57148
GSM1376009	Normal lung tissue 1907-NOR	GSE57148
GSM1956976	No Dox, rep3 (Paired-end)	GSE75487-GSE75492
GSM1443860	dl312_RNA-seq_rep2	GSE59688-GSE59693
GSM1505574	Lung RUN1 L002	GSE61474
GSM1376075	Normal lung tissue 935-NOR	GSE57148
GSM1376142	COPD lung tissue 367-COPD	GSE57148
GSM1548039	Calu-3 negative control siRNA rep 3	GSE63397-GSE63400
GSM1375990	Normal lung tissue 1207-NOR	GSE57148
GSM1443862	P300-_RNA-seq_rep2	GSE59688-GSE59693
GSM1548067	A549 EHF-overexpressing clone 30 rep 2	GSE63397-GSE63400
GSM1376095	COPD lung tissue 1566-COPD	GSE57148
GSM1376081	COPD lung tissue 1088-COPD	GSE57148
GSM2144089	HCC827_ZEB_a	GSE81167
GSM1376156	COPD lung tissue 4926-COPD	GSE57148
GSM2144087	HCC827_3-1_b	GSE81167
GSM1376123	COPD lung tissue 2702-COPD	GSE57148
GSM1267259	Norm4	GSE52463
GSM1376032	Normal lung tissue 33-NOR	GSE57148
GSM1376119	COPD lung tissue 2625-COPD	GSE57148
GSM1956978	Day1, rep2 (Paired-end)	GSE75487-GSE75492
GSM1982264	H1299_ShGFP	GSE76367
GSM1624882	A549, untreated cells, replicate 2	GSE66553
GSM1376080	COPD lung tissue 1047-COPD	GSE57148
GSM1956993	Day6, rep2 (Paired-end)	GSE75487-GSE75492
GSM1959787	A549 miRNA-1343 rep2	GSE75591
GSM1376069	Normal lung tissue 581-NOR	GSE57148
GSM1376134	COPD lung tissue 3264-COPD	GSE57148
GSM1959789	A549 miRNA-1343 rep4	GSE75591
GSM1908512	MRC5	GSE74029
GSM1376002	Normal lung tissue 1487-NOR	GSE57148
GSM2113412	WT1	GSE80136
GSM1957019	RBM47 KD, rep1 (Paired-end)	GSE75491-GSE75492
GSM1956997	Day7, rep3 (Paired-end)	GSE75487-GSE75492
GSM1376171	COPD lung tissue 821-COPD	GSE57148
GSM1376093	COPD lung tissue 1506-COPD	GSE57148
GSM1376045	Normal lung tissue 4004-NOR	GSE57148
GSM2113413	WT2	GSE80136
GSM1564294	R2_050_TotalRNA	GSE64098
GSM1702595	H358_SC17	GSE69405
GSM1564301	R2D_100_TotalRNA	GSE64098
GSM1564307	R1_000_mRNA	GSE64098
GSM1662708	Blood_Platelets_Lung-0101	GSE68086
GSM1564298	R2D_025_TotalRNA	GSE64098
GSM2113419	WT1_sgRNA-WT_Cas9_p	GSE80136
GSM2355681	9938_H460-Ctrl-1	GSE88943
GSM1702593	H358_SC14	GSE69405
GSM2113422	HCC78_sgRNA-S34F_Cas9_6	GSE80136
GSM1564313	R2_025_mRNA	GSE64098
GSM1702611	H358_SC59	GSE69405
GSM1564317	R2D_000_mRNA	GSE64098
GSM1564316	R2_100_mRNA	GSE64098
GSM1564299	R2D_050_TotalRNA	GSE64098
GSM1906399	neusRNA-seq mock(DMSO)-labeled IMR90hTert cells, (SS) rep3	GSE73929-GSE73936
GSM1564322	R3_000_mRNA	GSE64098
GSM1564291	R1_100_TotalRNA	GSE64098
GSM1564297	R2D_000_TotalRNA	GSE64098
GSM2355671	9927_BEAS-2B-Ctrl-2	GSE88943
GSM1564288	R1_025_TotalRNA	GSE64098
GSM1564318	R2D_025_mRNA	GSE64098
GSM1564296	R2_100_TotalRNA	GSE64098
GSM2113423	HCC78_sgRNA-S34F_Cas9_4	GSE80136
GSM1564320	R2D_075_mRNA	GSE64098
GSM1702615	H358_SC67	GSE69405
GSM1702622	H358_SC75	GSE69405
GSM1564292	R2_000_TotalRNA	GSE64098
GSM1564305	R3_075_TotalRNA	GSE64098
GSM1564287	R1_000_TotalRNA	GSE64098
GSM1564325	R3_075_mRNA	GSE64098
GSM1662739	Blood_Platelets_Lung-L.13	GSE68086
GSM1906392	neusRNA-seq mock(DMSO)-labeled IMR90hTert cells, (FBS) rep2	GSE73929-GSE73936
GSM1662743	Blood_Platelets_Lung-L.4	GSE68086
GSM1564302	R3_000_TotalRNA	GSE64098
GSM1662706	Blood_Platelets_Lung-01	GSE68086
GSM1564293	R2_025_TotalRNA	GSE64098
GSM1564311	R1_100_mRNA	GSE64098
GSM1564321	R2D_100_mRNA	GSE64098
GSM1564306	R3_100_TotalRNA	GSE64098
GSM1564310	R1_075_mRNA	GSE64098
GSM2355670	9926_BEAS-2B-Ctrl-1	GSE88943
GSM1702597	H358_SC23	GSE69405
GSM1564304	R3_050_TotalRNA	GSE64098
GSM2113302	V1-35	GSE80126
GSM1564323	R3_025_mRNA	GSE64098
GSM1662705	Blood_Platelets_Lung-0096	GSE68086
GSM1702608	H358_SC53	GSE69405
GSM1702601	H358_SC32	GSE69405
GSM1564324	R3_050_mRNA	GSE64098
GSM1662704	Blood_Platelets_Lung-0082	GSE68086
GSM2113298	V1-30	GSE80126
GSM2114337	A549_GFPkd_2	GSE80182
GSM1702628	H358_SC85	GSE69405
GSM1662721	Blood_Platelets_Lung-16	GSE68086
GSM1564308	R1_025_mRNA	GSE64098
GSM1662727	Blood_Platelets_Lung-26	GSE68086
GSM1573117	WGC023777R	GSE64513
GSM2113426	H441_sgRNA-S34F_Cas9_p	GSE80136
GSM1662733	Blood_Platelets_Lung-42	GSE68086
GSM1662734	Blood_Platelets_Lung-46	GSE68086
GSM1662724	Blood_Platelets_Lung-20-1	GSE68086
GSM2355676	9933_A549-RNF-2	GSE88943
GSM1564289	R1_050_TotalRNA	GSE64098
GSM1564326	R3_100_mRNA	GSE64098
GSM1564319	R2D_050_mRNA	GSE64098
GSM1662741	Blood_Platelets_Lung-L.26	GSE68086
GSM2113417	MUT1a_sgRNA-WT_Cas9_p	GSE80136
GSM2355682	9939_H460-Ctrl-2	GSE88943
GSM1662737	Blood_Platelets_Lung-62	GSE68086
GSM2113304	V3-41	GSE80126
GSM1702587	H358_Pooled	GSE69405
GSM1573116	WGC023776R	GSE64513
GSM1564309	R1_050_mRNA	GSE64098
GSM2113312	V3-63	GSE80126
GSM2114341	A549_PRMT5kd_3	GSE80182
GSM1702631	H358_SC89	GSE69405
GSM1564290	R1_075_TotalRNA	GSE64098
GSM1702605	H358_SC42	GSE69405
GSM2355672	9928_BEAS-2B-RNF-1	GSE88943
GSM1564300	R2D_075_TotalRNA	GSE64098
GSM1702588	H358_SC05	GSE69405
GSM2355675	9932_A549-RNF-1	GSE88943
GSM1564314	R2_050_mRNA	GSE64098
GSM1564312	R2_000_mRNA	GSE64098
GSM1564303	R3_025_TotalRNA	GSE64098
GSM2113424	HCC78_sgRNA-GFP_Cas9_3	GSE80136
GSM1702626	H358_SC83	GSE69405
GSM1662709	Blood_Platelets_Lung-0102	GSE68086
GSM1906389	neusRNA-seq EU-labeled IMR90hTert cells, (FBS) rep2	GSE73929-GSE73936
GSM1702591	H358_SC11	GSE69405
GSM2113421	H441_sgRNA-GFP_Cas9_1	GSE80136
GSM1573120	WGC023780R	GSE64513
GSM1662714	Blood_Platelets_Lung-04	GSE68086
GSM1662722	Blood_Platelets_Lung-17	GSE68086
GSM1702618	H358_SC70	GSE69405
GSM1702634	H358_SC93	GSE69405
GSM2113416	MUT1a_sgRNA-GFP_Cas9_p	GSE80136
GSM2114339	A549_PRMT5kd_1	GSE80182
GSM2355683	9940_H460-RNF-1	GSE88943
GSM1702604	H358_SC39	GSE69405
GSM1564295	R2_075_TotalRNA	GSE64098
GSM1906390	neusRNA-seq EU-labeled IMR90hTert cells, (FBS) rep3	GSE73929-GSE73936
GSM1662711	Blood_Platelets_Lung-0110	GSE68086
GSM1702636	H358_SC95	GSE69405
GSM1906397	neusRNA-seq mock(DMSO)-labeled IMR90hTert cells, (SS) rep1	GSE73929-GSE73936
GSM1662707	Blood_Platelets_Lung-0100	GSE68086
GSM1573119	WGC023779R	GSE64513
GSM1702630	H358_SC87	GSE69405
GSM1702617	H358_SC69	GSE69405
GSM1662742	Blood_Platelets_Lung-L.33	GSE68086
GSM1906395	neusRNA-seq EU-labeled IMR90hTert cells, (SS) rep2	GSE73929-GSE73936
GSM1702596	H358_SC18	GSE69405
GSM2355677	9934_H1299-Ctrl-1	GSE88943
GSM1564315	R2_075_mRNA	GSE64098
GSM1702612	H358_SC62	GSE69405
GSM2355679	9936_H1299-RNF-1	GSE88943
GSM1662710	Blood_Platelets_Lung-0104	GSE68086
